dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
aloi,test,0.01,ann-faiss,"{}_[0, 0, 32, 1]",1.0,0.0,3.380775451660156e-05,0.14979338645935059
aloi,test,0.01,ann-faiss,"{}_[0, 0, 32, 5]",1.0,0.0,2.8777122497558598e-05,0.14979338645935059
aloi,test,0.01,ann-faiss,"{}_[0, 0, 32, 10]",1.0,0.0,1.8882751464843754e-05,0.14979338645935059
aloi,test,0.01,ann-faiss,"{}_[0, 0, 32, 50]",1.0,0.0,2.0599365234375005e-05,0.14979338645935059
aloi,test,0.01,ann-faiss,"{}_[0, 0, 64, 1]",1.0,0.0,3.321170806884765e-05,0.14979338645935059
aloi,test,0.01,ann-faiss,"{}_[0, 0, 64, 5]",1.0,0.0,2.8777122497558598e-05,0.14979338645935059
aloi,test,0.01,ann-faiss,"{}_[0, 0, 64, 10]",1.0,0.0,2.858638763427735e-05,0.14979338645935059
aloi,test,0.01,ann-faiss,"{}_[0, 0, 64, 50]",1.0,0.0,2.1052360534667965e-05,0.14979338645935059
aloi,test,0.01,ann-faiss,"{}_[0, 0, 128, 1]",1.0,0.0,3.285408020019531e-05,0.14979338645935059
aloi,test,0.01,ann-faiss,"{}_[0, 0, 128, 5]",1.0,0.0,2.8848648071289062e-05,0.14979338645935059
aloi,test,0.01,ann-faiss,"{}_[0, 0, 128, 10]",1.0,0.0,2.849102020263672e-05,0.14979338645935059
aloi,test,0.01,ann-faiss,"{}_[0, 0, 128, 50]",1.0,0.0,3.3164024353027336e-05,0.14979338645935059
aloi,test,0.01,ann-faiss,"{}_[0, 0, 256, 1]",1.0,0.0,3.22580337524414e-05,0.2072460651397705
aloi,test,0.01,ann-faiss,"{}_[0, 0, 256, 5]",1.0,0.0,2.8228759765625005e-05,0.2072460651397705
aloi,test,0.01,ann-faiss,"{}_[0, 0, 256, 10]",1.0,0.0,2.9063224792480473e-05,0.2072460651397705
aloi,test,0.01,ann-faiss,"{}_[0, 0, 256, 50]",1.0,0.0,1.5616416931152344e-05,0.2072460651397705
aloi,test,0.01,ann-faiss,"{}_[0, 0, 512, 1]",1.0,0.0,3.2067298889160156e-05,0.3208737373352051
aloi,test,0.01,ann-faiss,"{}_[0, 0, 512, 5]",1.0,0.0,2.882480621337891e-05,0.3208737373352051
aloi,test,0.01,ann-faiss,"{}_[0, 0, 512, 10]",1.0,0.0,2.849102020263672e-05,0.3208737373352051
aloi,test,0.01,ann-faiss,"{}_[0, 0, 512, 50]",1.0,0.0,2.2196769714355464e-05,0.3208737373352051
aloi,test,0.01,ann-faiss,"{}_[0, 0, 1024, 1]",1.0,0.0,3.173351287841796e-05,0.9563372135162354
aloi,test,0.01,ann-faiss,"{}_[0, 0, 1024, 5]",1.0,0.0,2.8848648071289062e-05,0.9563372135162354
aloi,test,0.01,ann-faiss,"{}_[0, 0, 1024, 10]",1.0,0.0,1.9288063049316408e-05,0.9563372135162354
aloi,test,0.01,ann-faiss,"{}_[0, 0, 1024, 50]",1.0,0.0,1.857280731201172e-05,0.9563372135162354
aloi,test,0.01,ann-faiss,"{}_[0, 0, 2048, 1]",1.0,0.0,3.4379959106445317e-05,1.4980547428131104
aloi,test,0.01,ann-faiss,"{}_[0, 0, 2048, 5]",1.0,0.0,6.139278411865234e-05,1.4980547428131104
aloi,test,0.01,ann-faiss,"{}_[0, 0, 2048, 10]",1.0,0.0,1.9121170043945317e-05,1.4980547428131104
aloi,test,0.01,ann-faiss,"{}_[0, 0, 2048, 50]",1.0,0.0,1.554489135742188e-05,1.4980547428131104
aloi,test,0.01,ann-faiss,"{}_[0, 0, 4096, 1]",1.0,0.0,4.1747093200683586e-05,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 0, 4096, 5]",1.0,0.0,0.00011205673217773438,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 0, 4096, 10]",1.0,0.0,2.858638763427735e-05,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 0, 4096, 50]",1.0,0.0,3.5071372985839836e-05,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 32, 1]",0.7533758792740819,10.0,0.005230331420898436,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 32, 5]",0.7487940543939553,10.0,0.004844927787780761,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 32, 10]",0.7541288034307113,10.0,0.004447603225708008,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 32, 50]",0.737771509938172,10.0,0.00444784164428711,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 64, 1]",0.7774709300268243,10.0,0.004709410667419435,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 64, 5]",0.790394925504286,10.0,0.004908514022827147,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 64, 10]",0.7654283105017896,10.0,0.00437917709350586,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 64, 50]",0.7361363876597863,10.0,0.004341483116149902,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 128, 1]",0.7262586222632622,10.0,0.00412895679473877,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 128, 5]",0.706096891335303,10.0,0.0042675018310546885,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 128, 10]",0.7428161328179783,10.0,0.004418444633483886,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 128, 50]",0.7273848205648412,10.0,0.00439434051513672,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 256, 1]",0.7579043562681335,10.0,0.0046269893646240234,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 256, 5]",0.7890206303647508,10.0,0.004895067214965821,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 256, 10]",0.7418137826733268,10.0,0.004262042045593261,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 256, 50]",0.7411848610899452,10.0,0.004345822334289552,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 512, 1]",0.7387452097778233,10.0,0.0047362565994262685,3.3417270183563232
aloi,test,0.01,ann-faiss,"{}_[0, 10, 512, 5]",0.7497058712116585,10.0,0.004886674880981446,3.3417270183563232
