dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
covtype,test,0.01,ann-faiss,"{}_[0, 0, 32, 1]",1.0,0.0,3.252029418945313e-05,0.779604434967041
covtype,test,0.01,ann-faiss,"{}_[0, 0, 32, 5]",1.0,0.0,3.0350685119628902e-05,0.779604434967041
covtype,test,0.01,ann-faiss,"{}_[0, 0, 32, 10]",1.0,0.0,3.054141998291015e-05,0.779604434967041
covtype,test,0.01,ann-faiss,"{}_[0, 0, 32, 50]",1.0,0.0,2.7966499328613277e-05,0.779604434967041
covtype,test,0.01,ann-faiss,"{}_[0, 0, 64, 1]",1.0,0.0,4.379749298095702e-05,0.9251456260681152
covtype,test,0.01,ann-faiss,"{}_[0, 0, 64, 5]",1.0,0.0,3.054141998291015e-05,0.9251456260681152
covtype,test,0.01,ann-faiss,"{}_[0, 0, 64, 10]",1.0,0.0,2.915859222412109e-05,0.9251456260681152
covtype,test,0.01,ann-faiss,"{}_[0, 0, 64, 50]",1.0,0.0,2.9397010803222652e-05,0.9251456260681152
covtype,test,0.01,ann-faiss,"{}_[0, 0, 128, 1]",1.0,0.0,3.662109374999999e-05,1.0288200378417969
covtype,test,0.01,ann-faiss,"{}_[0, 0, 128, 5]",1.0,0.0,2.9301643371582036e-05,1.0288200378417969
covtype,test,0.01,ann-faiss,"{}_[0, 0, 128, 10]",1.0,0.0,3.054141998291015e-05,1.0288200378417969
covtype,test,0.01,ann-faiss,"{}_[0, 0, 128, 50]",1.0,0.0,3.2210350036621086e-05,1.0288200378417969
covtype,test,0.01,ann-faiss,"{}_[0, 0, 256, 1]",1.0,0.0,3.2472610473632817e-05,1.6616325378417969
covtype,test,0.01,ann-faiss,"{}_[0, 0, 256, 5]",1.0,0.0,3.023147583007812e-05,1.6616325378417969
covtype,test,0.01,ann-faiss,"{}_[0, 0, 256, 10]",1.0,0.0,2.8347969055175786e-05,1.6616325378417969
covtype,test,0.01,ann-faiss,"{}_[0, 0, 256, 50]",1.0,0.0,2.9063224792480473e-05,1.6616325378417969
covtype,test,0.01,ann-faiss,"{}_[0, 0, 512, 1]",1.0,0.0,3.7550926208496094e-05,3.17087721824646
covtype,test,0.01,ann-faiss,"{}_[0, 0, 512, 5]",1.0,0.0,2.8657913208007817e-05,3.17087721824646
covtype,test,0.01,ann-faiss,"{}_[0, 0, 512, 10]",1.0,0.0,2.872943878173828e-05,3.17087721824646
covtype,test,0.01,ann-faiss,"{}_[0, 0, 512, 50]",1.0,0.0,3.0064582824707027e-05,3.17087721824646
covtype,test,0.01,ann-faiss,"{}_[0, 0, 1024, 1]",1.0,0.0,3.695487976074219e-05,7.664170980453491
covtype,test,0.01,ann-faiss,"{}_[0, 0, 1024, 5]",1.0,0.0,3.2472610473632817e-05,7.664170980453491
covtype,test,0.01,ann-faiss,"{}_[0, 0, 1024, 10]",1.0,0.0,3.0183792114257808e-05,7.664170980453491
covtype,test,0.01,ann-faiss,"{}_[0, 0, 1024, 50]",1.0,0.0,1.552104949951172e-05,7.664170980453491
