dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
glove,test,0.01,ann-faiss,"{}_[0, 0, 32, 1]",1.0,0.0,3.924369812011718e-05,0.4921114444732666
glove,test,0.01,ann-faiss,"{}_[0, 0, 32, 5]",1.0,0.0,3.292560577392577e-05,0.6774265766143799
glove,test,0.01,ann-faiss,"{}_[0, 0, 32, 10]",1.0,0.0,5.507469177246094e-05,0.5425641536712646
glove,test,0.01,ann-faiss,"{}_[0, 0, 32, 50]",1.0,0.0,3.52621078491211e-05,0.5364348888397217
glove,test,0.01,ann-faiss,"{}_[0, 0, 64, 1]",1.0,0.0,3.216266632080079e-05,0.9322662353515625
glove,test,0.01,ann-faiss,"{}_[0, 0, 64, 5]",1.0,0.0,3.1948089599609375e-05,0.9137940406799316
glove,test,0.01,ann-faiss,"{}_[0, 0, 64, 10]",1.0,0.0,3.244876861572265e-05,0.9137940406799316
glove,test,0.01,ann-faiss,"{}_[0, 0, 64, 50]",1.0,0.0,1.4901161193847656e-05,0.9137940406799316
glove,test,0.01,ann-faiss,"{}_[0, 0, 128, 1]",1.0,0.0,3.5834312438964846e-05,0.9137940406799316
glove,test,0.01,ann-faiss,"{}_[0, 0, 128, 5]",1.0,0.0,2.8109550476074223e-05,0.9137940406799316
glove,test,0.01,ann-faiss,"{}_[0, 0, 128, 10]",1.0,0.0,1.5497207641601562e-05,0.9137940406799316
glove,test,0.01,ann-faiss,"{}_[0, 0, 128, 50]",1.0,0.0,1.4805793762207033e-05,0.9137940406799316
glove,test,0.01,ann-faiss,"{}_[0, 0, 256, 1]",1.0,0.0,3.137588500976562e-05,0.9137940406799316
glove,test,0.01,ann-faiss,"{}_[0, 0, 256, 5]",1.0,0.0,2.808570861816406e-05,0.9137940406799316
glove,test,0.01,ann-faiss,"{}_[0, 0, 256, 10]",1.0,0.0,2.7799606323242183e-05,0.9137940406799316
glove,test,0.01,ann-faiss,"{}_[0, 0, 256, 50]",1.0,0.0,1.4853477478027341e-05,0.9137940406799316
glove,test,0.01,ann-faiss,"{}_[0, 0, 512, 1]",1.0,0.0,3.14474105834961e-05,1.0446662902832031
glove,test,0.01,ann-faiss,"{}_[0, 0, 512, 5]",1.0,0.0,2.7847290039062496e-05,1.0446662902832031
glove,test,0.01,ann-faiss,"{}_[0, 0, 512, 10]",1.0,0.0,2.8300285339355473e-05,1.0446662902832031
glove,test,0.01,ann-faiss,"{}_[0, 0, 512, 50]",1.0,0.0,2.808570861816406e-05,1.0446662902832031
glove,test,0.01,ann-faiss,"{}_[0, 0, 1024, 1]",1.0,0.0,3.1423568725585933e-05,3.061173677444458
glove,test,0.01,ann-faiss,"{}_[0, 0, 1024, 5]",1.0,0.0,2.8014183044433594e-05,3.061173677444458
glove,test,0.01,ann-faiss,"{}_[0, 0, 1024, 10]",1.0,0.0,2.794265747070313e-05,3.061173677444458
glove,test,0.01,ann-faiss,"{}_[0, 0, 1024, 50]",1.0,0.0,1.4901161193847656e-05,3.061173677444458
glove,test,0.01,ann-faiss,"{}_[0, 0, 2048, 1]",1.0,0.0,3.347396850585938e-05,9.37926721572876
glove,test,0.01,ann-faiss,"{}_[0, 0, 2048, 5]",1.0,0.0,2.882480621337891e-05,9.37926721572876
glove,test,0.01,ann-faiss,"{}_[0, 0, 2048, 10]",1.0,0.0,2.7894973754882812e-05,9.37926721572876
glove,test,0.01,ann-faiss,"{}_[0, 0, 2048, 50]",1.0,0.0,1.769065856933594e-05,9.37926721572876
glove,test,0.01,ann-faiss,"{}_[0, 0, 4096, 1]",1.0,0.0,3.7837028503417966e-05,32.45592761039734
glove,test,0.01,ann-faiss,"{}_[0, 0, 4096, 5]",1.0,0.0,2.832412719726562e-05,32.45592761039734
