dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
mnist,test,0.01,ann-faiss,"{}_[0, 0, 32, 1]",1.0,0.0,5.5646896362304696e-05,0.611685037612915
mnist,test,0.01,ann-faiss,"{}_[0, 0, 32, 5]",1.0,0.0,2.8038024902343745e-05,0.611685037612915
mnist,test,0.01,ann-faiss,"{}_[0, 0, 32, 10]",1.0,0.0,2.9611587524414067e-05,0.611685037612915
mnist,test,0.01,ann-faiss,"{}_[0, 0, 32, 50]",1.0,0.0,2.9182434082031255e-05,0.611685037612915
mnist,test,0.01,ann-faiss,"{}_[0, 0, 64, 1]",1.0,0.0,4.9233436584472656e-05,0.611685037612915
mnist,test,0.01,ann-faiss,"{}_[0, 0, 64, 5]",1.0,0.0,2.8276443481445308e-05,0.611685037612915
mnist,test,0.01,ann-faiss,"{}_[0, 0, 64, 10]",1.0,0.0,2.710819244384766e-05,0.611685037612915
mnist,test,0.01,ann-faiss,"{}_[0, 0, 64, 50]",1.0,0.0,2.7823448181152348e-05,0.611685037612915
mnist,test,0.01,ann-faiss,"{}_[0, 0, 128, 1]",1.0,0.0,3.7932395935058586e-05,1.3404781818389893
mnist,test,0.01,ann-faiss,"{}_[0, 0, 128, 5]",1.0,0.0,2.8300285339355473e-05,1.3404781818389893
mnist,test,0.01,ann-faiss,"{}_[0, 0, 128, 10]",1.0,0.0,2.8109550476074223e-05,1.3404781818389893
mnist,test,0.01,ann-faiss,"{}_[0, 0, 128, 50]",1.0,0.0,2.9897689819335942e-05,1.3404781818389893
mnist,test,0.01,ann-faiss,"{}_[0, 0, 256, 1]",1.0,0.0,3.213882446289062e-05,1.472205638885498
mnist,test,0.01,ann-faiss,"{}_[0, 0, 256, 5]",1.0,0.0,2.8014183044433594e-05,1.472205638885498
mnist,test,0.01,ann-faiss,"{}_[0, 0, 256, 10]",1.0,0.0,3.201961517333984e-05,1.472205638885498
mnist,test,0.01,ann-faiss,"{}_[0, 0, 256, 50]",1.0,0.0,3.094673156738281e-05,1.472205638885498
mnist,test,0.01,ann-faiss,"{}_[0, 0, 512, 1]",1.0,0.0,3.34024429321289e-05,2.3735427856445312
mnist,test,0.01,ann-faiss,"{}_[0, 0, 512, 5]",1.0,0.0,2.8753280639648433e-05,2.3735427856445312
mnist,test,0.01,ann-faiss,"{}_[0, 0, 512, 10]",1.0,0.0,1.6665458679199217e-05,2.3735427856445312
mnist,test,0.01,ann-faiss,"{}_[0, 0, 512, 50]",1.0,0.0,3.187656402587891e-05,2.3735427856445312
mnist,test,0.01,ann-faiss,"{}_[0, 0, 1024, 1]",1.0,0.0,3.442764282226563e-05,3.6815576553344727
mnist,test,0.01,ann-faiss,"{}_[0, 0, 1024, 5]",1.0,0.0,3.101825714111327e-05,3.6815576553344727
mnist,test,0.01,ann-faiss,"{}_[0, 0, 1024, 10]",1.0,0.0,3.008842468261719e-05,3.6815576553344727
mnist,test,0.01,ann-faiss,"{}_[0, 0, 1024, 50]",1.0,0.0,2.9802322387695312e-05,3.6815576553344727
mnist,test,0.01,ann-faiss,"{}_[0, 0, 2048, 1]",1.0,0.0,4.234313964843749e-05,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 0, 2048, 5]",1.0,0.0,3.2639503479003914e-05,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 0, 2048, 10]",1.0,0.0,3.1828880310058594e-05,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 0, 2048, 50]",1.0,0.0,3.008842468261719e-05,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 0, 4096, 5]",1.0,0.0,3.6787986755371096e-05,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 0, 4096, 10]",1.0,0.0,2.849102020263672e-05,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 0, 4096, 50]",1.0,0.0,3.101825714111327e-05,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 32, 1]",0.3931291552065021,10.0,0.010684204101562502,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 32, 5]",0.3975692185855005,10.0,0.008238887786865236,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 32, 10]",0.392084806795614,10.0,0.00835890769958496,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 32, 50]",0.3960560356907279,10.0,0.007827401161193848,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 64, 1]",0.4007245746401611,10.0,0.009911108016967773,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 64, 5]",0.3857694581087118,10.0,0.008931517601013184,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 64, 10]",0.3930527765799022,10.0,0.008293175697326658,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 64, 50]",0.3984363611127909,10.0,0.007701134681701661,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 128, 1]",0.40341645099964957,10.0,0.008519983291625979,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 128, 5]",0.39702559456845465,10.0,0.008737897872924807,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 128, 10]",0.3930209992133286,10.0,0.00808753967285156,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 128, 50]",0.38780728074758597,10.0,0.007704639434814452,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 256, 1]",0.39384773284671154,10.0,0.013216471672058108,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 256, 5]",0.4025384666014723,10.0,0.009808349609375,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 256, 10]",0.395905273420736,10.0,0.008419418334960935,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 256, 50]",0.40396948074763406,10.0,0.008224654197692872,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 512, 1]",0.3981592497764856,10.0,0.02059648036956787,6.710104942321777
mnist,test,0.01,ann-faiss,"{}_[0, 10, 512, 5]",0.4013928436748965,10.0,0.008599233627319335,6.710104942321777
