dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
msd,test,0.01,ann-faiss,"{}_[0, 0, 32, 1]",1.0,0.0,3.478527069091798e-05,0.3120696544647217
msd,test,0.01,ann-faiss,"{}_[0, 0, 32, 5]",1.0,0.0,3.192424774169923e-05,0.3120696544647217
msd,test,0.01,ann-faiss,"{}_[0, 0, 32, 10]",1.0,0.0,1.6427040100097654e-05,0.3120696544647217
msd,test,0.01,ann-faiss,"{}_[0, 0, 32, 50]",1.0,0.0,1.635551452636719e-05,0.3120696544647217
msd,test,0.01,ann-faiss,"{}_[0, 0, 64, 1]",1.0,0.0,3.216266632080079e-05,0.3120696544647217
msd,test,0.01,ann-faiss,"{}_[0, 0, 64, 5]",1.0,0.0,2.8967857360839844e-05,0.3120696544647217
msd,test,0.01,ann-faiss,"{}_[0, 0, 64, 10]",1.0,0.0,2.794265747070313e-05,0.3120696544647217
msd,test,0.01,ann-faiss,"{}_[0, 0, 64, 50]",1.0,0.0,1.5306472778320317e-05,0.3120696544647217
msd,test,0.01,ann-faiss,"{}_[0, 0, 128, 1]",1.0,0.0,4.348754882812501e-05,0.3120696544647217
msd,test,0.01,ann-faiss,"{}_[0, 0, 128, 5]",1.0,0.0,2.863407135009765e-05,0.3120696544647217
msd,test,0.01,ann-faiss,"{}_[0, 0, 128, 10]",1.0,0.0,2.8252601623535156e-05,0.3120696544647217
msd,test,0.01,ann-faiss,"{}_[0, 0, 128, 50]",1.0,0.0,1.5640258789062502e-05,0.3120696544647217
msd,test,0.01,ann-faiss,"{}_[0, 0, 256, 1]",1.0,0.0,3.1661987304687496e-05,0.35003209114074707
msd,test,0.01,ann-faiss,"{}_[0, 0, 256, 5]",1.0,0.0,2.849102020263672e-05,0.35003209114074707
msd,test,0.01,ann-faiss,"{}_[0, 0, 256, 10]",1.0,0.0,2.8228759765625005e-05,0.35003209114074707
msd,test,0.01,ann-faiss,"{}_[0, 0, 256, 50]",1.0,0.0,1.511573791503906e-05,0.35003209114074707
msd,test,0.01,ann-faiss,"{}_[0, 0, 512, 1]",1.0,0.0,3.232955932617187e-05,1.0069835186004639
msd,test,0.01,ann-faiss,"{}_[0, 0, 512, 5]",1.0,0.0,2.839565277099609e-05,1.0069835186004639
