dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 32, 1]",1.0,0.0,3.516674041748047e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 32, 5]",1.0,0.0,2.858638763427735e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 32, 10]",1.0,0.0,1.552104949951172e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 32, 50]",1.0,0.0,1.5354156494140623e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 64, 1]",1.0,0.0,2.851486206054687e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 64, 5]",1.0,0.0,2.839565277099609e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 64, 10]",1.0,0.0,2.832412719726562e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 64, 50]",1.0,0.0,1.5234947204589842e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 128, 1]",1.0,0.0,2.832412719726562e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 128, 5]",1.0,0.0,2.8681755065917965e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 128, 10]",1.0,0.0,2.8157234191894527e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 128, 50]",1.0,0.0,2.7608871459960933e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 256, 1]",1.0,0.0,2.8371810913085938e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 256, 5]",1.0,0.0,2.820491790771484e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 256, 10]",1.0,0.0,2.8228759765625005e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 256, 50]",1.0,0.0,1.511573791503906e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 512, 1]",1.0,0.0,4.124641418457031e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 512, 5]",1.0,0.0,2.820491790771484e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 512, 10]",1.0,0.0,3.0517578125e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 512, 50]",1.0,0.0,1.5211105346679685e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 1024, 1]",1.0,0.0,3.24249267578125e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 1024, 5]",1.0,0.0,2.7990341186523442e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 1024, 10]",1.0,0.0,2.808570861816406e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 1024, 50]",1.0,0.0,1.5163421630859377e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 2048, 1]",1.0,0.0,4.849433898925782e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 2048, 5]",1.0,0.0,2.8300285339355473e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 2048, 10]",1.0,0.0,2.9325485229492188e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 2048, 50]",1.0,0.0,2.8228759765625005e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 4096, 1]",1.0,0.0,3.545284271240234e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 4096, 5]",1.0,0.0,2.8252601623535156e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 4096, 10]",1.0,0.0,2.851486206054687e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 0, 4096, 50]",1.0,0.0,2.8252601623535156e-05,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 32, 1]",1.210937990438813,10.0,0.001634359359741211,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 32, 5]",1.2384678780544003,10.0,0.0015187263488769531,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 32, 10]",1.2317617790432653,10.0,0.0015052318572998044,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 32, 50]",1.1952023763004054,10.0,0.001157569885253906,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 64, 1]",1.1931862091327794,10.0,0.0014843702316284177,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 64, 5]",1.1924127650913288,10.0,0.0015151023864746096,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 64, 10]",1.2293612230426867,10.0,0.0015109777450561523,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 64, 50]",1.197786087305401,10.0,0.0011710166931152345,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 128, 1]",1.3814266246764817,10.0,0.0014749288558959964,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 128, 5]",1.2149170021929412,10.0,0.001543927192687988,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 128, 10]",1.1902224368641416,10.0,0.0015082359313964844,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 128, 50]",1.174307088151955,10.0,0.0011467456817626956,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 256, 1]",1.2067969420051456,10.0,0.0015283823013305664,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 256, 5]",1.2514946254442898,10.0,0.0015252113342285154,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 256, 10]",1.1992616610227738,10.0,0.001501917839050293,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 256, 50]",1.1971336098260525,10.0,0.0011299371719360354,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 512, 1]",1.2809797419152564,10.0,0.0014644861221313477,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 512, 5]",1.2277968555043368,10.0,0.0015100955963134768,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 512, 10]",1.1984343869795495,10.0,0.0015178918838500977,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 512, 50]",1.233363913374188,10.0,0.0011561632156372073,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 1024, 1]",1.204598504541497,10.0,0.0014864683151245115,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 1024, 5]",1.300971852470562,10.0,0.0015205144882202148,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 1024, 10]",1.2468155321183594,10.0,0.001504659652709961,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 1024, 50]",1.2324494003895494,10.0,0.0011500835418701174,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 2048, 1]",1.2469995911698792,10.0,0.001471662521362305,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 2048, 5]",1.208921106865624,10.0,0.001512718200683594,0.07137250900268555
shuttle,test,0.01,ann-faiss,"{}_[0, 10, 2048, 10]",1.2424521246510978,10.0,0.001505470275878906,0.07137250900268555
