mu, offset, k1, k2_constant, rel_err, query_time, build_time
1.13636e-05, 0, 55, 56.9255, 0.0309855, 4.4333, 23341
1.13636e-05, 0, 55, 39.8478, 0.039294, 3.5803, 15870
1.13636e-05, 0, 55, 27.8935, 0.0326285, 3.0391, 12069
1.13636e-05, 0, 55, 19.5254, 0.0346828, 2.5261, 9532
1.13636e-05, 0, 55, 13.6678, 0.0298637, 2.1845, 8247
1.13636e-05, 0, 55, 9.56746, 0.0337844, 1.8702, 7729
1.13636e-05, 0, 55, 6.69722, 0.0315501, 1.5798, 7170
1.13636e-05, 0, 55, 4.68806, 0.0348132, 1.3636, 6724
1.13636e-05, 0, 55, 3.28164, 0.0310668, 1.1497, 6700
1.13636e-05, 0, 55, 2.29715, 0.0403411, 0.9638, 6606
1.13636e-05, 0, 55, 1.608, 0.0512978, 0.802, 6580
1.13636e-05, 0, 55, 1.1256, 0.0695353, 0.6815, 6413
1.13636e-05, 0, 55, 0.787922, 0.0789629, 0.5587, 6442
1.13636e-05, 0, 55, 0.551545, 0.0922574, 0.5248, 6357
1.13636e-05, 0, 55, 0.386082, 0.118503, 0.4184, 5060
1.13636e-05, 0, 55, 0.270257, 0.123761, 0.4036, 5029
1.13636e-05, 0, 55, 0.18918, 0.140529, 0.3505, 5114
1.13636e-05, 0, 55, 0.132426, 0.137736, 0.3537, 5204
1.13636e-05, 0, 38, 56.9255, 0.0297904, 3.4454, 14706
1.13636e-05, 0, 38, 39.8478, 0.0314368, 2.2603, 9916
1.13636e-05, 0, 38, 27.8935, 0.0325902, 1.9556, 7288
1.13636e-05, 0, 38, 19.5254, 0.031413, 1.8244, 6033
1.13636e-05, 0, 38, 13.6678, 0.0336624, 1.5475, 5151
1.13636e-05, 0, 38, 9.56746, 0.0380628, 1.2727, 5592
1.13636e-05, 0, 38, 6.69722, 0.0352646, 1.1245, 5226
1.13636e-05, 0, 38, 4.68806, 0.0326629, 0.9455, 4818
1.13636e-05, 0, 38, 3.28164, 0.0415475, 0.8215, 4684
1.13636e-05, 0, 38, 2.29715, 0.0416306, 0.671, 4931
1.13636e-05, 0, 38, 1.608, 0.0521293, 0.5709, 4780
1.13636e-05, 0, 38, 1.1256, 0.0644012, 0.491, 4698
1.13636e-05, 0, 38, 0.787922, 0.0753562, 0.4065, 4503
1.13636e-05, 0, 38, 0.551545, 0.0932305, 0.3711, 4406
1.13636e-05, 0, 38, 0.386082, 0.116865, 0.2905, 4795
1.13636e-05, 0, 38, 0.270257, 0.118678, 0.2812, 4699
1.13636e-05, 0, 38, 0.18918, 0.137028, 0.2663, 4724
1.13636e-05, 0, 38, 0.132426, 0.130354, 0.2432, 4691
1.13636e-05, 0, 26, 56.9255, 0.0366479, 2.0281, 9925
1.13636e-05, 0, 26, 39.8478, 0.0380407, 1.564, 7097
1.13636e-05, 0, 26, 27.8935, 0.0366949, 1.3242, 5677
1.13636e-05, 0, 26, 19.5254, 0.0372224, 1.2103, 4818
1.13636e-05, 0, 26, 13.6678, 0.0408314, 1.0284, 4076
1.13636e-05, 0, 26, 9.56746, 0.0377811, 0.9181, 3890
1.13636e-05, 0, 26, 6.69722, 0.0414718, 0.7756, 3689
1.13636e-05, 0, 26, 4.68806, 0.0352671, 0.6822, 3526
1.13636e-05, 0, 26, 3.28164, 0.0398576, 0.5173, 3441
1.13636e-05, 0, 26, 2.29715, 0.0440564, 0.4549, 3207
1.13636e-05, 0, 26, 1.608, 0.0518458, 0.3914, 3373
1.13636e-05, 0, 26, 1.1256, 0.0646287, 0.3282, 3121
1.13636e-05, 0, 26, 0.787922, 0.0825178, 0.281, 3125
1.13636e-05, 0, 26, 0.551545, 0.0872164, 0.2585, 3351
1.13636e-05, 0, 26, 0.386082, 0.113968, 0.2129, 3294
1.13636e-05, 0, 26, 0.270257, 0.119194, 0.1894, 3303
1.13636e-05, 0, 26, 0.18918, 0.131558, 0.1649, 3300
1.13636e-05, 0, 26, 0.132426, 0.139767, 0.1741, 3129
1.13636e-05, 0, 18, 56.9255, 0.04467, 1.2939, 6760
1.13636e-05, 0, 18, 39.8478, 0.0425653, 1.0748, 4694
1.13636e-05, 0, 18, 27.8935, 0.0401689, 0.9746, 3433
1.13636e-05, 0, 18, 19.5254, 0.0423076, 0.7518, 2836
1.13636e-05, 0, 18, 13.6678, 0.0451659, 0.7099, 2514
1.13636e-05, 0, 18, 9.56746, 0.0458189, 0.6139, 2266
1.13636e-05, 0, 18, 6.69722, 0.0444977, 0.5561, 2149
1.13636e-05, 0, 18, 4.68806, 0.0437417, 0.4485, 1983
1.13636e-05, 0, 18, 3.28164, 0.0407583, 0.3776, 1879
1.13636e-05, 0, 18, 2.29715, 0.0492959, 0.3042, 1905
1.13636e-05, 0, 18, 1.608, 0.0533828, 0.2528, 1880
1.13636e-05, 0, 18, 1.1256, 0.0607909, 0.2276, 1841
1.13636e-05, 0, 18, 0.787922, 0.075805, 0.2015, 1880
1.13636e-05, 0, 18, 0.551545, 0.0895872, 0.1838, 1817
1.13636e-05, 0, 18, 0.386082, 0.10831, 0.1429, 1883
1.13636e-05, 0, 18, 0.270257, 0.112998, 0.1415, 1883
1.13636e-05, 0, 18, 0.18918, 0.142626, 0.1228, 1844
1.13636e-05, 0, 18, 0.132426, 0.13341, 0.1228, 1816
1.13636e-05, 0, 12, 56.9255, 0.0537234, 0.7757, 4760
1.13636e-05, 0, 12, 39.8478, 0.0530572, 0.6269, 3187
1.13636e-05, 0, 12, 27.8935, 0.0459521, 0.6095, 2489
1.13636e-05, 0, 12, 19.5254, 0.0499622, 0.4892, 2161
1.13636e-05, 0, 12, 13.6678, 0.0473074, 0.4705, 1817
1.13636e-05, 0, 12, 9.56746, 0.0503756, 0.3858, 1642
1.13636e-05, 0, 12, 6.69722, 0.0498077, 0.3626, 1506
1.13636e-05, 0, 12, 4.68806, 0.0526582, 0.287, 1407
1.13636e-05, 0, 12, 3.28164, 0.0486116, 0.2541, 1361
1.13636e-05, 0, 12, 2.29715, 0.0527765, 0.2191, 1297
1.13636e-05, 0, 12, 1.608, 0.0562218, 0.1806, 1284
1.13636e-05, 0, 12, 1.1256, 0.0656213, 0.1447, 1298
1.13636e-05, 0, 12, 0.787922, 0.0739327, 0.1376, 1281
1.13636e-05, 0, 12, 0.551545, 0.0870675, 0.1246, 1250
1.13636e-05, 0, 12, 0.386082, 0.126715, 0.0947, 1271
1.13636e-05, 0, 12, 0.270257, 0.130304, 0.0982, 1262
1.13636e-05, 0, 12, 0.18918, 0.141277, 0.0926, 1337
1.13636e-05, 0, 12, 0.132426, 0.126148, 0.0889, 1469
1.13636e-05, 0, 8, 56.9255, 0.06654, 0.4876, 2776
1.13636e-05, 0, 8, 39.8478, 0.0601413, 0.4576, 2139
1.13636e-05, 0, 8, 27.8935, 0.0744429, 0.3404, 1653
1.13636e-05, 0, 8, 19.5254, 0.0631313, 0.3076, 1387
1.13636e-05, 0, 8, 13.6678, 0.061428, 0.2908, 1274
1.13636e-05, 0, 8, 9.56746, 0.0580951, 0.2505, 1081
1.13636e-05, 0, 8, 6.69722, 0.0628729, 0.2463, 1008
1.13636e-05, 0, 8, 4.68806, 0.0651073, 0.1997, 966
1.13636e-05, 0, 8, 3.28164, 0.0607677, 0.1706, 906
1.13636e-05, 0, 8, 2.29715, 0.0680339, 0.1533, 879
1.13636e-05, 0, 8, 1.608, 0.0812669, 0.1307, 882
1.13636e-05, 0, 8, 1.1256, 0.073154, 0.106, 873
1.13636e-05, 0, 8, 0.787922, 0.0832957, 0.0914, 893
1.13636e-05, 0, 8, 0.551545, 0.10889, 0.0819, 848
1.13636e-05, 0, 8, 0.386082, 0.117025, 0.0706, 957
1.13636e-05, 0, 8, 0.270257, 0.113816, 0.0709, 982
1.13636e-05, 0, 8, 0.18918, 0.13944, 0.0641, 807
1.13636e-05, 0, 8, 0.132426, 0.134637, 0.0664, 995
1.13636e-05, 0, 5, 56.9255, 0.0858844, 0.3045, 1853
1.13636e-05, 0, 5, 39.8478, 0.0828851, 0.2725, 1354
1.13636e-05, 0, 5, 27.8935, 0.0809921, 0.2292, 1068
1.13636e-05, 0, 5, 19.5254, 0.0693549, 0.204, 905
1.13636e-05, 0, 5, 13.6678, 0.0698668, 0.1961, 781
1.13636e-05, 0, 5, 9.56746, 0.0728402, 0.1709, 696
1.13636e-05, 0, 5, 6.69722, 0.0730029, 0.1411, 636
1.13636e-05, 0, 5, 4.68806, 0.0730241, 0.1224, 629
1.13636e-05, 0, 5, 3.28164, 0.0745149, 0.1115, 607
1.13636e-05, 0, 5, 2.29715, 0.0727013, 0.0954, 595
1.13636e-05, 0, 5, 1.608, 0.0860403, 0.0876, 636
1.13636e-05, 0, 5, 1.1256, 0.0930372, 0.0667, 634
1.13636e-05, 0, 5, 0.787922, 0.108565, 0.0602, 522
1.13636e-05, 0, 5, 0.551545, 0.129044, 0.0627, 631
1.13636e-05, 0, 5, 0.386082, 0.140597, 0.0499, 530
1.13636e-05, 0, 5, 0.270257, 0.14723, 0.0413, 583
1.13636e-05, 0, 5, 0.18918, 0.160564, 0.048, 650
1.13636e-05, 0, 5, 0.132426, 0.161375, 0.0375, 526
1.13636e-05, 0, 3, 56.9255, 0.0952043, 0.181, 1388
1.13636e-05, 0, 3, 39.8478, 0.0944105, 0.1572, 1002
1.13636e-05, 0, 3, 27.8935, 0.0975938, 0.1304, 796
