mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 0, 65, 66.1875, 0.242893, 2.3053, 76019
0.0001, 1, 65, 66.1875, 0.215809, 0.9387, 41951
0.0001, 2, 65, 66.1875, 0.135924, 0.3471, 26423
0.0001, 2, 65, 32.4319, 0.216344, 0.2048, 20369
0.0001, 2, 45, 66.1875, 0.13968, 0.2512, 17966
0.0001, 2, 45, 32.4319, 0.215918, 0.1585, 14422
0.0001, 2, 31, 66.1875, 0.136507, 0.2029, 12097
0.0001, 2, 31, 32.4319, 0.218898, 0.1181, 10038
0.0001, 2, 21, 66.1875, 0.142171, 0.1263, 8349
0.0001, 2, 21, 32.4319, 0.222474, 0.0789, 6719
0.0001, 2, 14, 66.1875, 0.121176, 0.0999, 5582
0.0001, 2, 14, 32.4319, 0.198644, 0.0503, 4508
0.0001, 2, 14, 15.8916, 0.25372, 0.0348, 4027
0.0001, 2, 9, 66.1875, 0.143977, 0.0578, 3575
0.0001, 2, 9, 32.4319, 0.214358, 0.0336, 2961
0.0001, 2, 6, 66.1875, 0.12847, 0.0381, 2465
0.0001, 2, 6, 32.4319, 0.202725, 0.0248, 1967
0.0001, 2, 4, 66.1875, 0.140775, 0.0331, 1783
0.0001, 2, 4, 32.4319, 0.195096, 0.0161, 1321
0.0001, 2, 4, 15.8916, 0.230584, 0.013, 1177
0.0001, 2, 2, 66.1875, 0.180785, 0.0164, 1047
0.0001, 2, 2, 32.4319, 0.208986, 0.0109, 684
0.0001, 2, 1, 66.1875, 0.210162, 0.01, 605
0.0001, 3, 65, 66.1875, 0.0922965, 0.1376, 20104
0.0001, 3, 65, 32.4319, 0.119798, 0.1051, 18136
0.0001, 3, 65, 15.8916, 0.144206, 0.0819, 17189
0.0001, 3, 65, 7.78689, 0.15874, 0.0628, 16680
0.0001, 3, 65, 3.81558, 0.161974, 0.0628, 16413
0.0001, 3, 65, 1.86963, 0.165653, 0.0609, 16490
0.0001, 3, 65, 0.91612, 0.171163, 0.0581, 16481
0.0001, 3, 65, 0.448899, 0.169367, 0.0605, 16290
0.0001, 3, 65, 0.21996, 0.166751, 0.0605, 16405
0.0001, 3, 65, 0.107781, 0.170601, 0.058, 16398
0.0001, 3, 65, 0.0528125, 0.16662, 0.0615, 16347
0.0001, 3, 45, 66.1875, 0.093207, 0.0901, 14001
0.0001, 3, 45, 32.4319, 0.126955, 0.0768, 12247
0.0001, 3, 45, 15.8916, 0.144098, 0.0617, 11761
0.0001, 3, 45, 7.78689, 0.161665, 0.049, 11615
0.0001, 3, 45, 3.81558, 0.169779, 0.0488, 11458
0.0001, 3, 45, 1.86963, 0.172148, 0.0422, 11573
0.0001, 3, 45, 0.91612, 0.17332, 0.0418, 11252
0.0001, 3, 45, 0.448899, 0.179519, 0.0352, 11283
0.0001, 3, 45, 0.21996, 0.180409, 0.0394, 11219
0.0001, 3, 45, 0.107781, 0.173955, 0.0388, 11291
0.0001, 3, 45, 0.0528125, 0.178748, 0.0408, 11267
0.0001, 3, 31, 66.1875, 0.105498, 0.0844, 9232
0.0001, 3, 31, 32.4319, 0.131345, 0.0507, 8444
0.0001, 3, 31, 15.8916, 0.157886, 0.0422, 8219
0.0001, 3, 31, 7.78689, 0.167754, 0.0337, 7996
0.0001, 3, 31, 3.81558, 0.174148, 0.0303, 7946
