mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 0, 65, 69.8776, 0.0165732, 20.0769, 76617
0.0001, 0, 65, 34.24, 0.0146871, 12.5992, 71025
0.0001, 0, 65, 16.7776, 0.0222394, 9.3368, 69146
0.0001, 0, 65, 8.22103, 0.0183174, 7.37, 67675
0.0001, 0, 65, 4.0283, 0.0228137, 6.1613, 67775
0.0001, 0, 65, 1.97387, 0.0168644, 4.3606, 67403
0.0001, 0, 65, 0.967195, 0.019972, 2.8746, 67465
0.0001, 0, 65, 0.473926, 0.0252927, 1.8178, 67344
0.0001, 0, 65, 0.232224, 0.0326201, 1.4392, 67694
0.0001, 0, 65, 0.11379, 0.037216, 1.2678, 67078
0.0001, 0, 65, 0.0557569, 0.035215, 1.3031, 67069
0.0001, 0, 45, 69.8776, 0.0197502, 14.0299, 52150
0.0001, 0, 45, 34.24, 0.0192013, 8.5837, 49406
0.0001, 0, 45, 16.7776, 0.0183664, 6.2929, 47729
0.0001, 0, 45, 8.22103, 0.0171999, 5.0794, 47031
0.0001, 0, 45, 4.0283, 0.0191325, 4.2144, 47460
0.0001, 0, 45, 1.97387, 0.0217495, 2.9754, 46762
0.0001, 0, 45, 0.967195, 0.0167457, 2.0004, 46368
0.0001, 0, 45, 0.473926, 0.0317122, 1.262, 46962
0.0001, 0, 45, 0.232224, 0.0309371, 0.9688, 46837
0.0001, 0, 45, 0.11379, 0.0433129, 0.8952, 46840
0.0001, 0, 45, 0.0557569, 0.0432269, 0.9119, 46848
0.0001, 0, 31, 69.8776, 0.0186155, 9.4226, 36758
0.0001, 0, 31, 34.24, 0.0222627, 6.0847, 40340
0.0001, 0, 31, 16.7776, 0.02176, 4.4761, 39061
0.0001, 0, 31, 8.22103, 0.0292299, 3.6088, 38872
0.0001, 0, 31, 4.0283, 0.0196657, 2.9342, 38408
0.0001, 0, 31, 1.97387, 0.0203176, 2.0746, 38099
0.0001, 0, 31, 0.967195, 0.0273088, 1.4331, 38082
0.0001, 0, 31, 0.473926, 0.0364458, 0.8758, 37979
0.0001, 0, 31, 0.232224, 0.0308742, 0.7014, 37264
0.0001, 0, 31, 0.11379, 0.0355093, 0.6257, 38192
0.0001, 0, 31, 0.0557569, 0.041372, 0.6199, 38011
0.0001, 0, 21, 69.8776, 0.0230429, 6.3102, 28229
0.0001, 0, 21, 34.24, 0.0316903, 4.3745, 28007
0.0001, 0, 21, 16.7776, 0.0230508, 3.0901, 27285
0.0001, 0, 21, 8.22103, 0.0210707, 2.2916, 26982
0.0001, 0, 21, 4.0283, 0.0234566, 1.9317, 26187
0.0001, 0, 21, 1.97387, 0.0419591, 1.4021, 25574
0.0001, 0, 21, 0.967195, 0.0236962, 0.9076, 25473
0.0001, 0, 21, 0.473926, 0.0331989, 0.582, 25818
0.0001, 0, 21, 0.232224, 0.0379871, 0.482, 25409
0.0001, 0, 21, 0.11379, 0.0389443, 0.4293, 25169
0.0001, 0, 21, 0.0557569, 0.0386935, 0.4109, 25602
0.0001, 0, 14, 69.8776, 0.0282701, 4.268, 19226
0.0001, 0, 14, 34.24, 0.0265189, 2.7304, 19144
0.0001, 0, 14, 16.7776, 0.0346814, 1.9883, 18308
0.0001, 0, 14, 8.22103, 0.0239323, 1.4604, 18144
0.0001, 0, 14, 4.0283, 0.0251395, 1.2329, 18024
0.0001, 0, 14, 1.97387, 0.025101, 0.8601, 17698
0.0001, 0, 14, 0.967195, 0.0265491, 0.5909, 17602
0.0001, 0, 14, 0.473926, 0.0284317, 0.4054, 17347
0.0001, 0, 14, 0.232224, 0.0345721, 0.3109, 17645
0.0001, 0, 14, 0.11379, 0.0369882, 0.2866, 17525
0.0001, 0, 14, 0.0557569, 0.0406725, 0.2879, 17323
0.0001, 0, 9, 69.8776, 0.0294027, 2.7013, 12770
0.0001, 0, 9, 34.24, 0.0280103, 1.643, 12456
0.0001, 0, 9, 16.7776, 0.0304021, 1.2371, 12059
0.0001, 0, 9, 8.22103, 0.0291206, 0.9, 11785
0.0001, 0, 9, 4.0283, 0.0322697, 0.7672, 11649
0.0001, 0, 9, 1.97387, 0.0309555, 0.575, 11414
0.0001, 0, 9, 0.967195, 0.0351797, 0.3887, 11549
0.0001, 0, 9, 0.473926, 0.034367, 0.2409, 11387
0.0001, 0, 9, 0.232224, 0.048019, 0.1939, 11335
0.0001, 0, 9, 0.11379, 0.0524025, 0.1829, 11417
0.0001, 0, 9, 0.0557569, 0.0528375, 0.1871, 11444
0.0001, 0, 6, 69.8776, 0.031973, 1.7164, 8660
0.0001, 0, 6, 34.24, 0.0486402, 1.0414, 8439
0.0001, 0, 6, 16.7776, 0.0323711, 0.7378, 8028
