mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 0, 50, 52.9832, 0.0534586, 1.4624, 20284
0.0001, 0, 50, 25.9618, 0.0555183, 1.1553, 13527
0.0001, 0, 50, 12.7213, 0.0619963, 1.0473, 11621
0.0001, 0, 50, 6.23342, 0.0501014, 0.9896, 10852
0.0001, 0, 50, 3.05437, 0.0525285, 1.015, 10843
0.0001, 0, 50, 1.49664, 0.0557375, 0.9984, 10645
0.0001, 0, 50, 0.733355, 0.0527758, 0.9453, 10391
0.0001, 0, 50, 0.359344, 0.0520194, 0.9516, 10604
0.0001, 0, 50, 0.176079, 0.0534295, 0.9535, 10554
0.0001, 0, 50, 0.0862785, 0.0579938, 0.9242, 11327
0.0001, 0, 35, 52.9832, 0.0507347, 1.124, 12700
0.0001, 0, 35, 25.9618, 0.0648441, 0.8091, 10367
0.0001, 0, 35, 12.7213, 0.0514889, 0.7209, 9105
0.0001, 0, 35, 6.23342, 0.0542291, 0.6906, 8712
0.0001, 0, 35, 3.05437, 0.0577321, 0.6655, 8556
0.0001, 0, 35, 1.49664, 0.0791399, 0.6502, 8341
0.0001, 0, 35, 0.733355, 0.05079, 0.6915, 8602
0.0001, 0, 35, 0.359344, 0.0518084, 0.6523, 8381
0.0001, 0, 35, 0.176079, 0.0641074, 0.648, 8670
0.0001, 0, 35, 0.0862785, 0.0582826, 0.6674, 8739
0.0001, 0, 24, 52.9832, 0.0525053, 0.7358, 9612
0.0001, 0, 24, 25.9618, 0.0610721, 0.5597, 7618
0.0001, 0, 24, 12.7213, 0.0527432, 0.4879, 6800
0.0001, 0, 24, 6.23342, 0.0582754, 0.4941, 6326
0.0001, 0, 24, 3.05437, 0.0519406, 0.4702, 6116
0.0001, 0, 24, 1.49664, 0.057508, 0.4705, 6076
0.0001, 0, 24, 0.733355, 0.0473527, 0.4551, 5301
0.0001, 0, 24, 0.359344, 0.0656609, 0.4761, 4896
0.0001, 0, 24, 0.176079, 0.0510744, 0.4866, 5248
0.0001, 0, 24, 0.0862785, 0.0518509, 0.4596, 4950
0.0001, 0, 16, 52.9832, 0.0536633, 0.4823, 6268
0.0001, 0, 16, 25.9618, 0.0642813, 0.3757, 4679
0.0001, 0, 16, 12.7213, 0.05152, 0.3543, 4085
0.0001, 0, 16, 6.23342, 0.0614105, 0.3301, 3729
0.0001, 0, 16, 3.05437, 0.056862, 0.3102, 3618
0.0001, 0, 16, 1.49664, 0.0601317, 0.3261, 3656
0.0001, 0, 16, 0.733355, 0.0617493, 0.3193, 3547
0.0001, 0, 16, 0.359344, 0.0599883, 0.3119, 3557
0.0001, 0, 16, 0.176079, 0.0576207, 0.3038, 3639
0.0001, 0, 16, 0.0862785, 0.070038, 0.3004, 3565
0.0001, 0, 11, 52.9832, 0.0665713, 0.3594, 4373
0.0001, 0, 11, 25.9618, 0.0701026, 0.2747, 3271
0.0001, 0, 11, 12.7213, 0.0617192, 0.241, 2817
0.0001, 0, 11, 6.23342, 0.0654787, 0.2228, 2657
0.0001, 0, 11, 3.05437, 0.0629523, 0.2379, 2566
0.0001, 0, 11, 1.49664, 0.0690776, 0.242, 2589
0.0001, 0, 11, 0.733355, 0.0675598, 0.2365, 2533
0.0001, 0, 11, 0.359344, 0.0739223, 0.2324, 2537
0.0001, 0, 11, 0.176079, 0.0696439, 0.2366, 2479
0.0001, 0, 11, 0.0862785, 0.0746785, 0.247, 2695
0.0001, 0, 7, 52.9832, 0.0718053, 0.2235, 3087
0.0001, 0, 7, 25.9618, 0.070821, 0.1894, 2177
0.0001, 0, 7, 12.7213, 0.0800039, 0.1629, 1846
0.0001, 0, 7, 6.23342, 0.0826042, 0.1653, 1742
0.0001, 0, 7, 3.05437, 0.0814012, 0.1736, 1659
0.0001, 0, 7, 1.49664, 0.0740427, 0.1466, 1646
0.0001, 0, 7, 0.733355, 0.0795257, 0.1673, 1608
0.0001, 0, 7, 0.359344, 0.0818888, 0.1666, 1613
0.0001, 0, 7, 0.176079, 0.0728596, 0.1569, 1613
0.0001, 0, 7, 0.0862785, 0.0790894, 0.1468, 1620
0.0001, 0, 4, 52.9832, 0.0835811, 0.1221, 1867
0.0001, 0, 4, 25.9618, 0.0844186, 0.0968, 1318
0.0001, 0, 4, 12.7213, 0.0983388, 0.1073, 1110
0.0001, 0, 4, 6.23342, 0.0873075, 0.1053, 1003
0.0001, 0, 4, 3.05437, 0.0882837, 0.0942, 983
0.0001, 0, 4, 1.49664, 0.0913472, 0.0995, 968
0.0001, 0, 4, 0.733355, 0.0842541, 0.0847, 954
0.0001, 0, 4, 0.359344, 0.089366, 0.0951, 970
0.0001, 0, 4, 0.176079, 0.0870184, 0.0855, 955
0.0001, 0, 4, 0.0862785, 0.0880492, 0.1021, 1023
0.0001, 0, 2, 52.9832, 0.129617, 0.0608, 1246
0.0001, 0, 2, 25.9618, 0.125312, 0.0612, 816
0.0001, 0, 2, 12.7213, 0.143528, 0.0537, 592
0.0001, 0, 2, 6.23342, 0.144807, 0.0535, 526
0.0001, 0, 2, 3.05437, 0.149461, 0.0485, 517
0.0001, 0, 2, 1.49664, 0.144821, 0.0474, 504
0.0001, 0, 2, 0.733355, 0.122303, 0.0552, 500
0.0001, 0, 2, 0.359344, 0.113027, 0.0528, 496
0.0001, 0, 2, 0.176079, 0.131204, 0.0472, 497
0.0001, 0, 2, 0.0862785, 0.128969, 0.0535, 486
0.0001, 0, 1, 52.9832, 0.122557, 0.0343, 744
0.0001, 0, 1, 25.9618, 0.118885, 0.0313, 468
0.0001, 0, 1, 12.7213, 0.144634, 0.0299, 336
0.0001, 0, 1, 6.23342, 0.124934, 0.0277, 288
0.0001, 0, 1, 3.05437, 0.176852, 0.0264, 270
0.0001, 0, 1, 1.49664, 0.142973, 0.0303, 263
0.0001, 0, 1, 0.733355, 0.120039, 0.0303, 261
0.0001, 0, 1, 0.359344, 0.14358, 0.0288, 260
0.0001, 0, 1, 0.176079, 0.143872, 0.0292, 258
0.0001, 0, 1, 0.0862785, 0.1331, 0.0294, 263
0.0001, 1, 50, 52.9832, 0.0535661, 0.8171, 14399
0.0001, 1, 50, 25.9618, 0.0691983, 0.7616, 11872
0.0001, 1, 50, 12.7213, 0.0583265, 0.7478, 11718
0.0001, 1, 50, 6.23342, 0.0641186, 0.7022, 10992
0.0001, 1, 50, 3.05437, 0.0652308, 0.765, 10831
0.0001, 1, 50, 1.49664, 0.0677954, 0.7003, 11092
0.0001, 1, 50, 0.733355, 0.0597882, 0.69, 10803
0.0001, 1, 50, 0.359344, 0.0703016, 0.7257, 10795
0.0001, 1, 50, 0.176079, 0.0721978, 0.7136, 12631
0.0001, 1, 50, 0.0862785, 0.0513068, 0.7158, 12417
0.0001, 1, 35, 52.9832, 0.0674612, 0.5584, 10571
0.0001, 1, 35, 25.9618, 0.0679401, 0.5212, 9468
0.0001, 1, 35, 12.7213, 0.0691814, 0.4895, 9174
0.0001, 1, 35, 6.23342, 0.0642274, 0.5106, 9151
0.0001, 1, 35, 3.05437, 0.0650217, 0.5019, 9183
0.0001, 1, 35, 1.49664, 0.0808641, 0.4819, 9060
0.0001, 1, 35, 0.733355, 0.0641609, 0.5013, 9272
0.0001, 1, 35, 0.359344, 0.0785024, 0.5351, 8918
0.0001, 1, 35, 0.176079, 0.0887799, 0.4917, 9213
0.0001, 1, 35, 0.0862785, 0.0584872, 0.477, 8861
0.0001, 1, 24, 52.9832, 0.0683745, 0.3731, 7633
0.0001, 1, 24, 25.9618, 0.0572731, 0.3646, 6817
0.0001, 1, 24, 12.7213, 0.0866216, 0.3696, 6717
0.0001, 1, 24, 6.23342, 0.0571254, 0.3346, 6773
0.0001, 1, 24, 3.05437, 0.0625683, 0.3499, 6279
0.0001, 1, 24, 1.49664, 0.0793703, 0.3478, 6251
0.0001, 1, 24, 0.733355, 0.0597671, 0.3553, 6224
0.0001, 1, 24, 0.359344, 0.0710527, 0.3389, 6293
0.0001, 1, 24, 0.176079, 0.0767929, 0.3604, 6276
0.0001, 1, 24, 0.0862785, 0.0559485, 0.3438, 6240
0.0001, 1, 16, 52.9832, 0.0569406, 0.272, 5297
0.0001, 1, 16, 25.9618, 0.0614463, 0.2397, 4805
0.0001, 1, 16, 12.7213, 0.0645946, 0.2534, 4461
0.0001, 1, 16, 6.23342, 0.0700283, 0.2352, 4388
0.0001, 1, 16, 3.05437, 0.0727154, 0.237, 4354
0.0001, 1, 16, 1.49664, 0.0755123, 0.2463, 4426
0.0001, 1, 16, 0.733355, 0.0754263, 0.2862, 3686
0.0001, 1, 16, 0.359344, 0.0831051, 0.238, 3794
0.0001, 1, 16, 0.176079, 0.0658673, 0.2403, 3543
0.0001, 1, 16, 0.0862785, 0.0677056, 0.2361, 3506
0.0001, 1, 11, 52.9832, 0.113747, 0.1888, 3084
0.0001, 1, 11, 25.9618, 0.078944, 0.1874, 2707
0.0001, 1, 11, 12.7213, 0.0956054, 0.1799, 2619
0.0001, 1, 11, 6.23342, 0.0813874, 0.1741, 2525
0.0001, 1, 11, 3.05437, 0.0769471, 0.2013, 2506
0.0001, 1, 11, 1.49664, 0.0838453, 0.1693, 2492
0.0001, 1, 11, 0.733355, 0.0802282, 0.184, 2472
0.0001, 1, 11, 0.359344, 0.0879281, 0.1556, 2476
0.0001, 1, 11, 0.176079, 0.0981285, 0.1552, 2467
0.0001, 1, 11, 0.0862785, 0.0779997, 0.1786, 2479
0.0001, 1, 7, 52.9832, 0.0912168, 0.1243, 2015
0.0001, 1, 7, 25.9618, 0.110451, 0.1326, 1775
0.0001, 1, 7, 12.7213, 0.0937036, 0.1309, 1680
0.0001, 1, 7, 6.23342, 0.101747, 0.1242, 1656
0.0001, 1, 7, 3.05437, 0.108935, 0.1134, 1627
0.0001, 1, 7, 1.49664, 0.108007, 0.1282, 1595
0.0001, 1, 7, 0.733355, 0.110908, 0.1221, 1585
0.0001, 1, 7, 0.359344, 0.111505, 0.126, 1596
0.0001, 1, 7, 0.176079, 0.105085, 0.1075, 1596
0.0001, 1, 7, 0.0862785, 0.0925441, 0.122, 1598
0.0001, 1, 4, 52.9832, 0.127769, 0.0721, 1303
0.0001, 1, 4, 25.9618, 0.153775, 0.0679, 1063
0.0001, 1, 4, 12.7213, 0.108831, 0.0721, 981
0.0001, 1, 4, 6.23342, 0.118742, 0.0733, 956
