mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 0, 65, 65.565, 0.152667, 0.818, 42095
0.0001, 0, 65, 32.1269, 0.164869, 0.5373, 31515
0.0001, 0, 65, 15.7422, 0.163751, 0.3771, 26910
0.0001, 0, 65, 7.71366, 0.171729, 0.3093, 25226
0.0001, 0, 65, 3.77969, 0.170397, 0.2785, 24427
0.0001, 0, 65, 1.85205, 0.174179, 0.2527, 24208
0.0001, 0, 65, 0.907505, 0.172959, 0.2718, 23934
0.0001, 0, 65, 0.444677, 0.167769, 0.2312, 24101
0.0001, 0, 65, 0.217892, 0.16984, 0.2389, 23919
0.0001, 0, 65, 0.106767, 0.174024, 0.2284, 23852
0.0001, 0, 65, 0.0523158, 0.175684, 0.2307, 23796
0.0001, 0, 45, 65.565, 0.154403, 0.5831, 27666
0.0001, 0, 45, 32.1269, 0.160429, 0.3727, 21684
0.0001, 0, 45, 15.7422, 0.175658, 0.2735, 19075
0.0001, 0, 45, 7.71366, 0.169597, 0.2197, 17625
0.0001, 0, 45, 3.77969, 0.167864, 0.1982, 17272
0.0001, 0, 45, 1.85205, 0.171055, 0.1724, 17044
0.0001, 0, 45, 0.907505, 0.175872, 0.1608, 17114
0.0001, 0, 45, 0.444677, 0.175397, 0.1847, 16754
0.0001, 0, 45, 0.217892, 0.170956, 0.1653, 16774
0.0001, 0, 45, 0.106767, 0.167926, 0.1871, 16645
0.0001, 0, 45, 0.0523158, 0.175099, 0.1617, 16570
0.0001, 0, 31, 65.565, 0.151593, 0.4098, 19223
0.0001, 0, 31, 32.1269, 0.167943, 0.2472, 15172
0.0001, 0, 31, 15.7422, 0.177532, 0.2378, 13345
0.0001, 0, 31, 7.71366, 0.175942, 0.1627, 12564
0.0001, 0, 31, 3.77969, 0.181898, 0.1424, 11841
0.0001, 0, 31, 1.85205, 0.174094, 0.1369, 11746
0.0001, 0, 31, 0.907505, 0.173134, 0.1423, 11498
0.0001, 0, 31, 0.444677, 0.17525, 0.1349, 11629
0.0001, 0, 31, 0.217892, 0.181143, 0.1298, 11622
0.0001, 0, 31, 0.106767, 0.173239, 0.1479, 11624
0.0001, 0, 31, 0.0523158, 0.178258, 0.1467, 11554
0.0001, 0, 21, 65.565, 0.159113, 0.2791, 13193
0.0001, 0, 21, 32.1269, 0.169056, 0.1815, 10441
