mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 0, 50, 52.7267, 0.0352126, 1.1897, 6521
0.0001, 0, 50, 25.8361, 0.0319842, 0.8147, 2575
0.0001, 0, 50, 12.6597, 0.0322778, 0.5766, 1179
0.0001, 0, 50, 6.20324, 0.0334978, 0.3761, 592
0.0001, 0, 50, 3.03959, 0.0502002, 0.2459, 329
0.0001, 0, 50, 1.4894, 0.14499, 0.1557, 234
0.0001, 0, 50, 0.729805, 0.223647, 0.1273, 204
0.0001, 0, 35, 52.7267, 0.0380766, 0.8034, 4404
0.0001, 0, 35, 25.8361, 0.0378574, 0.569, 1801
0.0001, 0, 35, 12.6597, 0.0437898, 0.3932, 904
0.0001, 0, 35, 6.20324, 0.0398447, 0.2684, 444
0.0001, 0, 35, 3.03959, 0.0536342, 0.1808, 256
0.0001, 0, 35, 1.4894, 0.145105, 0.1379, 164
0.0001, 0, 35, 0.729805, 0.236166, 0.0958, 131
0.0001, 0, 24, 52.7267, 0.0427343, 0.5155, 2964
0.0001, 0, 24, 25.8361, 0.0472794, 0.3911, 1308
0.0001, 0, 24, 12.6597, 0.0484684, 0.2698, 629
0.0001, 0, 24, 6.20324, 0.0465812, 0.1961, 326
0.0001, 0, 24, 3.03959, 0.0583484, 0.1188, 177
0.0001, 0, 24, 1.4894, 0.134659, 0.0876, 120
0.0001, 0, 24, 0.729805, 0.213094, 0.0591, 92
0.0001, 0, 16, 52.7267, 0.057454, 0.3572, 2018
0.0001, 0, 16, 25.8361, 0.0556088, 0.2521, 962
0.0001, 0, 16, 12.6597, 0.0597112, 0.1691, 441
0.0001, 0, 16, 6.20324, 0.0559842, 0.1361, 220
0.0001, 0, 16, 3.03959, 0.0601594, 0.0842, 124
0.0001, 0, 16, 1.4894, 0.13655, 0.0559, 90
0.0001, 0, 16, 0.729805, 0.216036, 0.0421, 70
0.0001, 0, 11, 52.7267, 0.0654761, 0.2293, 1483
0.0001, 0, 11, 25.8361, 0.067098, 0.1768, 728
0.0001, 0, 11, 12.6597, 0.0687177, 0.1228, 344
0.0001, 0, 11, 6.20324, 0.0649891, 0.0824, 156
0.0001, 0, 11, 3.03959, 0.071805, 0.0738, 117
0.0001, 0, 11, 1.4894, 0.143426, 0.0423, 59
0.0001, 0, 11, 0.729805, 0.217791, 0.0318, 52
0.0001, 0, 7, 52.7267, 0.0858924, 0.1504, 1010
0.0001, 0, 7, 25.8361, 0.081114, 0.1035, 484
0.0001, 0, 7, 12.6597, 0.0843438, 0.078, 230
0.0001, 0, 7, 6.20324, 0.0832164, 0.0563, 103
0.0001, 0, 7, 3.03959, 0.0914204, 0.0418, 65
0.0001, 0, 7, 1.4894, 0.145568, 0.0253, 46
0.0001, 0, 7, 0.729805, 0.221042, 0.024, 38
0.0001, 0, 4, 52.7267, 0.126248, 0.0807, 600
0.0001, 0, 4, 25.8361, 0.138571, 0.0779, 260
0.0001, 0, 4, 12.6597, 0.127303, 0.0571, 111
